valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,incValueMean3m,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_sti,all,171,8176573,2.09,171,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_sti,all,109,8176573,1.33,280,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_sti,all,145,8176573,1.77,425,1.73,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_sti,all,159,8176573,1.94,584,1.68,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_sti,all,147,8176573,1.8,731,1.84,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_sti,all,123,8176573,1.5,854,1.75,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_sti,all,161,8176573,1.97,1015,1.76,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_sti,all,134,8176573,1.64,1149,1.7,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_sti,all,138,8176573,1.69,1287,1.77,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_sti,all,130,8176573,1.59,1417,1.64,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_sti,all,137,8176573,1.68,1554,1.65,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_sti,all,107,8176573,1.31,1661,1.53,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_sti,all,164,8274608,1.98,164,1.66,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_sti,all,114,8274608,1.38,278,1.56,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_sti,all,126,8274608,1.52,404,1.63,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_sti,all,133,8274608,1.61,537,1.5,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_sti,all,162,8274608,1.96,699,1.7,NA,NA,NA,NA,NA,NA,NA,TRUE
