valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,incValueMean3m,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_sti,all,765,8176573,9.36,765,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_sti,all,606,8176573,7.41,1371,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_sti,all,720,8176573,8.81,2091,8.53,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_sti,all,705,8176573,8.62,2796,8.28,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_sti,all,694,8176573,8.49,3490,8.64,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_sti,all,683,8176573,8.35,4173,8.49,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_sti,all,666,8176573,8.15,4839,8.33,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_sti,all,736,8176573,9,5575,8.5,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_sti,all,772,8176573,9.44,6347,8.86,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_sti,all,819,8176573,10.02,7166,9.49,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_sti,all,795,8176573,9.72,7961,9.73,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_sti,all,674,8176573,8.24,8635,9.33,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_sti,all,856,8274608,10.34,856,9.43,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_sti,all,795,8274608,9.61,1651,9.4,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_sti,all,774,8274608,9.35,2425,9.77,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_sti,all,764,8274608,9.23,3189,9.4,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_sti,all,893,8274608,10.79,4082,9.79,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CHFL,CHFL,all,agegroup_sti,all,768,8274608,9.28,4850,9.77,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CHFL,CHFL,all,agegroup_sti,all,890,8274608,10.76,5740,10.28,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CHFL,CHFL,all,agegroup_sti,all,706,8274608,8.53,6446,9.52,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CHFL,CHFL,all,agegroup_sti,all,893,8274608,10.79,7339,10.03,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CHFL,CHFL,all,agegroup_sti,all,856,8274608,10.34,8195,9.89,NA,NA,NA,NA,NA,NA,NA,TRUE
