valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,testResult,testResult_type,value,pop,incValue,prct,inc14d,trend,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2020-W09,iso_week,AG,canton,all,agegroup_ili_ari,all,positive,all,5,694072,0.72,8.8,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,AI,canton,all,agegroup_ili_ari,all,positive,all,0,16293,0,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,AR,canton,all,agegroup_ili_ari,all,positive,all,0,55309,0,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,BE,canton,all,agegroup_ili_ari,all,positive,all,2,1043132,0.19,3.5,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,BL,canton,all,agegroup_ili_ari,all,positive,all,4,290969,1.37,7,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,BS,canton,all,agegroup_ili_ari,all,positive,all,4,196735,2.03,7,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,FL,country,all,agegroup_ili_ari,all,positive,all,0,39055,0,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,FR,canton,all,agegroup_ili_ari,all,positive,all,2,325496,0.61,3.5,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,GE,canton,all,agegroup_ili_ari,all,positive,all,10,506343,1.97,17.5,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,GL,canton,all,agegroup_ili_ari,all,positive,all,0,40851,0,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,GR,canton,all,agegroup_ili_ari,all,positive,all,9,200096,4.5,15.8,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,JU,canton,all,agegroup_ili_ari,all,positive,all,1,73709,1.36,1.8,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,LU,canton,all,agegroup_ili_ari,all,positive,all,0,416347,0,0,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,NE,canton,all,agegroup_ili_ari,all,positive,all,1,175894,0.57,1.8,NA,NA,NA,NA,NA,NA,TRUE
cases,2020-W09,iso_week,NW,canton,all,agegroup_ili_ari,all,positive,all,0,43520,0,0,NA,NA,NA,NA,NA,NA,TRUE
